,t,f1,f2,f3,f4,f5,f6
0,0.0,40.0,40.0,0.0,0.0,0.0,0.0
1,0.01,40.0,40.0,0.0,0.0,0.0,0.0
2,0.02,40.0,40.0,0.0,0.0,0.0,0.0
3,0.03,40.0,40.0,0.0,0.0,0.0,0.0
4,0.04,40.0,40.0,0.0,0.0,0.0,0.0
5,0.05,40.0,40.0,0.0,0.0,0.0,0.0
6,0.06,40.0,40.0,0.0,0.0,0.0,0.0
7,0.07,40.0,40.0,0.0,0.0,0.0,0.0
8,0.08,40.0,40.0,0.0,0.0,0.0,0.0
9,0.09,40.0,40.0,0.0,0.0,0.0,0.0
10,0.1,40.0,40.0,0.0,0.0,0.0,0.0
11,0.11,40.0,40.0,0.0,0.0,0.0,0.0
12,0.12,40.0,40.0,0.0,0.0,0.0,0.0
13,0.13,40.0,40.0,0.0,0.0,0.0,0.0
14,0.14,40.0,40.0,0.0,0.0,0.0,0.0
15,0.15,40.0,40.0,0.0,0.0,0.0,0.0
16,0.16,40.0,40.0,0.0,0.0,0.0,0.0
17,0.17,40.0,40.0,0.0,0.0,0.0,0.0
18,0.18,40.0,40.0,0.0,0.0,0.0,0.0
19,0.19,40.0,40.0,0.0,0.0,0.0,0.0
20,0.2,40.0,40.0,0.0,0.0,0.0,0.0
21,0.21,40.0,40.0,0.0,0.0,0.0,0.0
22,0.22,40.0,40.0,0.0,0.0,0.0,0.0
23,0.23,40.0,40.0,0.0,0.0,0.0,0.0
24,0.24,40.0,40.0,0.0,0.0,0.0,0.0
25,0.25,40.0,40.0,0.0,0.0,0.0,0.0
26,0.26,40.0,40.0,0.0,0.0,0.0,0.0
27,0.27,40.0,40.0,0.0,0.0,0.0,0.0
28,0.28,40.0,40.0,0.0,0.0,0.0,0.0
29,0.29,40.0,40.0,0.0,0.0,0.0,0.0
30,0.3,40.0,40.0,0.0,0.0,0.0,0.0
31,0.31,40.0,40.0,0.0,0.0,0.0,0.0
32,0.32,40.0,40.0,0.0,0.0,0.0,0.0
33,0.33,40.0,40.0,0.0,0.0,0.0,0.0
34,0.34,40.0,40.0,0.0,0.0,0.0,0.0
35,0.35000000000000003,40.0,40.0,0.0,0.0,0.0,0.0
36,0.36,40.0,40.0,0.0,0.0,0.0,0.0
37,0.37,40.0,40.0,0.0,0.0,0.0,0.0
38,0.38,40.0,40.0,0.0,0.0,0.0,0.0
39,0.39,40.0,40.0,0.0,0.0,0.0,0.0
40,0.4,40.0,40.0,0.0,0.0,0.0,0.0
41,0.41000000000000003,40.0,40.0,0.0,0.0,0.0,0.0
42,0.42,40.0,40.0,0.0,0.0,0.0,0.0
43,0.43,40.0,40.0,0.0,0.0,0.0,0.0
44,0.44,40.0,40.0,0.0,0.0,0.0,0.0
45,0.45,40.0,40.0,0.0,0.0,0.0,0.0
46,0.46,40.0,40.0,0.0,0.0,0.0,0.0
47,0.47000000000000003,40.0,40.0,0.0,0.0,0.0,0.0
48,0.48,40.0,40.0,0.0,0.0,0.0,0.0
49,0.49,40.0,40.0,0.0,0.0,0.0,0.0
50,0.5,40.0,40.0,0.0,0.0,0.0,0.0
51,0.51,40.0,40.0,0.0,0.0,0.0,0.0
52,0.52,40.0,40.0,0.0,0.0,0.0,0.0
53,0.53,40.0,40.0,0.0,0.0,0.0,0.0
54,0.54,40.0,40.0,0.0,0.0,0.0,0.0
55,0.55,40.0,40.0,0.0,0.0,0.0,0.0
56,0.56,40.0,40.0,0.0,0.0,0.0,0.0
57,0.5700000000000001,40.0,40.0,0.0,0.0,0.0,0.0
58,0.58,40.0,40.0,0.0,0.0,0.0,0.0
59,0.59,40.0,40.0,0.0,0.0,0.0,0.0
60,0.6,40.0,40.0,0.0,0.0,0.0,0.0
61,0.61,40.0,40.0,0.0,0.0,0.0,0.0
62,0.62,40.0,40.0,0.0,0.0,0.0,0.0
63,0.63,40.0,40.0,0.0,0.0,0.0,0.0
64,0.64,40.0,40.0,0.0,0.0,0.0,0.0
65,0.65,40.0,40.0,0.0,0.0,0.0,0.0
66,0.66,40.0,40.0,0.0,0.0,0.0,0.0
67,0.67,40.0,40.0,0.0,0.0,0.0,0.0
68,0.68,40.0,40.0,0.0,0.0,0.0,0.0
69,0.6900000000000001,40.0,40.0,0.0,0.0,0.0,0.0
70,0.7000000000000001,40.0,40.0,0.0,0.0,0.0,0.0
71,0.71,40.0,40.0,0.0,0.0,0.0,0.0
