,t,f1,f2,f3,f4,f5,f6
0,0.0,0.0,0.0,0.0,0.0,-30.0,-30.0
1,0.01,0.0,0.0,0.0,0.0,-30.0,-30.0
2,0.02,0.5,0.5,0.0,0.0,-30.0,-30.0
3,0.03,0.5,0.5,0.0,0.0,-30.0,-30.0
4,0.04,1.0,1.0,0.0,0.0,-30.0,-30.0
5,0.05,1.0,1.0,0.0,0.0,-30.0,-30.0
6,0.06,1.0,1.0,0.0,0.0,-30.0,-30.0
7,0.07,1.5,1.5,0.0,0.0,-30.0,-30.0
8,0.08,1.5,1.5,0.0,0.0,-30.0,-30.0
9,0.09,1.5,1.5,0.0,0.0,-30.0,-30.0
10,0.1,2.0,2.0,0.0,0.0,-30.0,-30.0
11,0.11,2.0,2.0,0.0,0.0,-30.0,-30.0
12,0.12,2.5,2.5,0.0,0.0,-30.0,-30.0
13,0.13,2.5,2.5,0.0,0.0,-30.0,-30.0
14,0.14,2.5,2.5,0.0,0.0,-30.0,-30.0
15,0.15,3.0,3.0,0.0,0.0,-30.0,-30.0
16,0.16,3.0,3.0,0.0,0.0,-30.0,-30.0
17,0.17,3.0,3.0,0.0,0.0,-30.0,-30.0
18,0.18,3.5,3.5,0.0,0.0,-30.0,-30.0
19,0.19,3.5,3.5,0.0,0.0,-30.0,-30.0
20,0.2,4.0,4.0,0.0,0.0,-30.0,-30.0
21,0.21,4.0,4.0,0.0,0.0,-29.5,-29.5
22,0.22,4.0,4.0,0.0,0.0,-29.5,-29.5
23,0.23,4.5,4.5,0.0,0.0,-29.5,-29.5
24,0.24,4.5,4.5,0.0,0.0,-29.5,-29.5
25,0.25,4.5,4.5,0.0,0.0,-29.5,-29.5
26,0.26,5.0,5.0,0.0,0.0,-29.5,-29.5
27,0.27,5.0,5.0,0.0,0.0,-29.5,-29.5
28,0.28,5.5,5.5,0.0,0.0,-29.5,-29.5
29,0.29,5.5,5.5,0.0,0.0,-29.5,-29.5
30,0.3,5.5,5.5,0.0,0.0,-29.5,-29.5
31,0.31,6.0,6.0,0.0,0.0,-29.5,-29.5
32,0.32,6.0,6.0,0.0,0.0,-29.5,-29.5
33,0.33,6.0,6.0,0.0,0.0,-29.5,-29.5
34,0.34,6.5,6.5,0.0,0.0,-29.5,-29.5
35,0.35000000000000003,6.5,6.5,0.0,0.0,-29.5,-29.5
36,0.36,6.5,6.5,0.0,0.0,-29.0,-29.0
37,0.37,7.0,7.0,0.0,0.0,-29.0,-29.0
38,0.38,7.0,7.0,0.0,0.0,-29.0,-29.0
39,0.39,7.5,7.5,0.0,0.0,-29.0,-29.0
40,0.4,7.5,7.5,0.0,0.0,-29.0,-29.0
41,0.41000000000000003,7.5,7.5,0.0,0.0,-29.0,-29.0
42,0.42,8.0,8.0,0.0,0.0,-29.0,-29.0
43,0.43,8.0,8.0,0.0,0.0,-29.0,-29.0
44,0.44,8.0,8.0,0.0,0.0,-29.0,-29.0
45,0.45,8.5,8.5,0.0,0.0,-29.0,-29.0
46,0.46,8.5,8.5,0.0,0.0,-29.0,-29.0
47,0.47000000000000003,8.5,8.5,0.0,0.0,-28.5,-28.5
48,0.48,9.0,9.0,0.0,0.0,-28.5,-28.5
49,0.49,9.0,9.0,0.0,0.0,-28.5,-28.5
50,0.5,9.5,9.5,0.0,0.0,-28.5,-28.5
51,0.51,9.5,9.5,0.0,0.0,-28.5,-28.5
52,0.52,9.5,9.5,0.0,0.0,-28.5,-28.5
53,0.53,10.0,10.0,0.0,0.0,-28.5,-28.5
54,0.54,10.0,10.0,0.0,0.0,-28.5,-28.5
55,0.55,10.0,10.0,0.0,0.0,-28.0,-28.0
56,0.56,10.5,10.5,0.0,0.0,-28.0,-28.0
57,0.5700000000000001,10.5,10.5,0.0,0.0,-28.0,-28.0
58,0.58,10.5,10.5,0.0,0.0,-28.0,-28.0
59,0.59,11.0,11.0,0.0,0.0,-28.0,-28.0
60,0.6,11.0,11.0,0.0,0.0,-28.0,-28.0
61,0.61,11.0,11.0,0.0,0.0,-28.0,-28.0
62,0.62,11.5,11.5,0.0,0.0,-28.0,-28.0
63,0.63,11.5,11.5,0.0,0.0,-27.5,-27.5
64,0.64,11.5,11.5,0.0,0.0,-27.5,-27.5
65,0.65,12.0,12.0,0.0,0.0,-27.5,-27.5
66,0.66,12.0,12.0,0.0,0.0,-27.5,-27.5
67,0.67,12.5,12.5,0.0,0.0,-27.5,-27.5
68,0.68,12.5,12.5,0.0,0.0,-27.5,-27.5
69,0.6900000000000001,12.5,12.5,0.0,0.0,-27.0,-27.0
70,0.7000000000000001,13.0,13.0,0.0,0.0,-27.0,-27.0
71,0.71,13.0,13.0,0.0,0.0,-27.0,-27.0
72,0.72,13.0,13.0,0.0,0.0,-27.0,-27.0
73,0.73,13.5,13.5,0.0,0.0,-27.0,-27.0
74,0.74,13.5,13.5,0.0,0.0,-27.0,-27.0
75,0.75,13.5,13.5,0.0,0.0,-26.5,-26.5
76,0.76,14.0,14.0,0.0,0.0,-26.5,-26.5
77,0.77,14.0,14.0,0.0,0.0,-26.5,-26.5
78,0.78,14.0,14.0,0.0,0.0,-26.5,-26.5
79,0.79,14.5,14.5,0.0,0.0,-26.5,-26.5
80,0.8,14.5,14.5,0.0,0.0,-26.5,-26.5
81,0.81,14.5,14.5,0.0,0.0,-26.0,-26.0
82,0.8200000000000001,15.0,15.0,0.0,0.0,-26.0,-26.0
83,0.8300000000000001,15.0,15.0,0.0,0.0,-26.0,-26.0
84,0.84,15.0,15.0,0.0,0.0,-26.0,-26.0
85,0.85,15.5,15.5,0.0,0.0,-26.0,-26.0
86,0.86,15.5,15.5,0.0,0.0,-25.5,-25.5
87,0.87,15.5,15.5,0.0,0.0,-25.5,-25.5
88,0.88,16.0,16.0,0.0,0.0,-25.5,-25.5
89,0.89,16.0,16.0,0.0,0.0,-25.5,-25.5
