,t,f1,f2,f3,f4,f5,f6
0,0.0,-0.0,-0.0,0.0,0.0,-30.0,-30.0
1,0.01,-0.0,-0.0,0.0,0.0,-30.0,-30.0
2,0.02,-0.5,-0.5,0.5,0.5,-30.0,-30.0
3,0.03,-0.5,-0.5,0.5,0.5,-30.0,-30.0
4,0.04,-0.5,-0.5,0.5,0.5,-30.0,-30.0
5,0.05,-0.5,-0.5,0.5,0.5,-30.0,-30.0
6,0.06,-1.0,-1.0,1.0,1.0,-30.0,-30.0
7,0.07,-1.0,-1.0,1.0,1.0,-30.0,-30.0
8,0.08,-1.0,-1.0,1.0,1.0,-30.0,-30.0
9,0.09,-1.0,-1.0,1.0,1.0,-30.0,-30.0
10,0.1,-1.5,-1.5,1.5,1.5,-30.0,-30.0
11,0.11,-1.5,-1.5,1.5,1.5,-30.0,-30.0
12,0.12,-1.5,-1.5,1.5,1.5,-30.0,-30.0
13,0.13,-1.5,-1.5,1.5,1.5,-30.0,-30.0
14,0.14,-2.0,-2.0,2.0,2.0,-30.0,-30.0
15,0.15,-2.0,-2.0,2.0,2.0,-30.0,-30.0
16,0.16,-2.0,-2.0,2.0,2.0,-30.0,-30.0
17,0.17,-2.5,-2.5,2.5,2.5,-30.0,-30.0
18,0.18,-2.5,-2.5,2.5,2.5,-30.0,-30.0
19,0.19,-2.5,-2.5,2.5,2.5,-30.0,-30.0
20,0.2,-2.5,-2.5,2.5,2.5,-30.0,-30.0
21,0.21,-3.0,-3.0,3.0,3.0,-29.5,-29.5
22,0.22,-3.0,-3.0,3.0,3.0,-29.5,-29.5
23,0.23,-3.0,-3.0,3.0,3.0,-29.5,-29.5
24,0.24,-3.0,-3.0,3.0,3.0,-29.5,-29.5
25,0.25,-3.5,-3.5,3.5,3.5,-29.5,-29.5
26,0.26,-3.5,-3.5,3.5,3.5,-29.5,-29.5
27,0.27,-3.5,-3.5,3.5,3.5,-29.5,-29.5
28,0.28,-3.5,-3.5,3.5,3.5,-29.5,-29.5
29,0.29,-4.0,-4.0,4.0,4.0,-29.5,-29.5
30,0.3,-4.0,-4.0,4.0,4.0,-29.5,-29.5
31,0.31,-4.0,-4.0,4.0,4.0,-29.5,-29.5
32,0.32,-4.0,-4.0,4.0,4.0,-29.5,-29.5
33,0.33,-4.5,-4.5,4.5,4.5,-29.5,-29.5
34,0.34,-4.5,-4.5,4.5,4.5,-29.5,-29.5
35,0.35000000000000003,-4.5,-4.5,4.5,4.5,-29.5,-29.5
36,0.36,-5.0,-5.0,5.0,5.0,-29.0,-29.0
37,0.37,-5.0,-5.0,5.0,5.0,-29.0,-29.0
38,0.38,-5.0,-5.0,5.0,5.0,-29.0,-29.0
39,0.39,-5.0,-5.0,5.0,5.0,-29.0,-29.0
40,0.4,-5.5,-5.5,5.5,5.5,-29.0,-29.0
41,0.41000000000000003,-5.5,-5.5,5.5,5.5,-29.0,-29.0
42,0.42,-5.5,-5.5,5.5,5.5,-29.0,-29.0
43,0.43,-5.5,-5.5,5.5,5.5,-29.0,-29.0
44,0.44,-6.0,-6.0,6.0,6.0,-29.0,-29.0
45,0.45,-6.0,-6.0,6.0,6.0,-29.0,-29.0
46,0.46,-6.0,-6.0,6.0,6.0,-29.0,-29.0
47,0.47000000000000003,-6.0,-6.0,6.0,6.0,-28.5,-28.5
48,0.48,-6.5,-6.5,6.5,6.5,-28.5,-28.5
49,0.49,-6.5,-6.5,6.5,6.5,-28.5,-28.5
50,0.5,-6.5,-6.5,6.5,6.5,-28.5,-28.5
51,0.51,-6.5,-6.5,6.5,6.5,-28.5,-28.5
52,0.52,-7.0,-7.0,7.0,7.0,-28.5,-28.5
53,0.53,-7.0,-7.0,7.0,7.0,-28.5,-28.5
54,0.54,-7.0,-7.0,7.0,7.0,-28.5,-28.5
55,0.55,-7.0,-7.0,7.0,7.0,-28.0,-28.0
56,0.56,-7.5,-7.5,7.5,7.5,-28.0,-28.0
57,0.5700000000000001,-7.5,-7.5,7.5,7.5,-28.0,-28.0
58,0.58,-7.5,-7.5,7.5,7.5,-28.0,-28.0
59,0.59,-7.5,-7.5,7.5,7.5,-28.0,-28.0
60,0.6,-8.0,-8.0,8.0,8.0,-28.0,-28.0
61,0.61,-8.0,-8.0,8.0,8.0,-28.0,-28.0
62,0.62,-8.0,-8.0,8.0,8.0,-28.0,-28.0
63,0.63,-8.0,-8.0,8.0,8.0,-27.5,-27.5
64,0.64,-8.5,-8.5,8.5,8.5,-27.5,-27.5
65,0.65,-8.5,-8.5,8.5,8.5,-27.5,-27.5
66,0.66,-8.5,-8.5,8.5,8.5,-27.5,-27.5
67,0.67,-8.5,-8.5,8.5,8.5,-27.5,-27.5
68,0.68,-9.0,-9.0,9.0,9.0,-27.5,-27.5
69,0.6900000000000001,-9.0,-9.0,9.0,9.0,-27.0,-27.0
70,0.7000000000000001,-9.0,-9.0,9.0,9.0,-27.0,-27.0
71,0.71,-9.0,-9.0,9.0,9.0,-27.0,-27.0
72,0.72,-9.5,-9.5,9.5,9.5,-27.0,-27.0
73,0.73,-9.5,-9.5,9.5,9.5,-27.0,-27.0
74,0.74,-9.5,-9.5,9.5,9.5,-27.0,-27.0
75,0.75,-9.5,-9.5,9.5,9.5,-26.5,-26.5
76,0.76,-9.5,-9.5,9.5,9.5,-26.5,-26.5
77,0.77,-10.0,-10.0,10.0,10.0,-26.5,-26.5
78,0.78,-10.0,-10.0,10.0,10.0,-26.5,-26.5
79,0.79,-10.0,-10.0,10.0,10.0,-26.5,-26.5
80,0.8,-10.0,-10.0,10.0,10.0,-26.5,-26.5
81,0.81,-10.5,-10.5,10.5,10.5,-26.0,-26.0
82,0.8200000000000001,-10.5,-10.5,10.5,10.5,-26.0,-26.0
83,0.8300000000000001,-10.5,-10.5,10.5,10.5,-26.0,-26.0
84,0.84,-10.5,-10.5,10.5,10.5,-26.0,-26.0
