,t,f1,f2,f3,f4,f5,f6
0,0.0,30.0,30.0,0.0,0.0,0.0,0.0
1,0.01,30.0,30.0,0.0,0.0,0.0,0.0
2,0.02,30.0,30.0,0.0,0.0,0.0,0.0
3,0.03,30.0,30.0,0.0,0.0,0.0,0.0
4,0.04,30.0,30.0,0.0,0.0,0.0,0.0
5,0.05,30.0,30.0,0.0,0.0,0.0,0.0
6,0.06,30.0,30.0,0.0,0.0,0.0,0.0
7,0.07,30.0,30.0,0.0,0.0,0.0,0.0
8,0.08,30.0,30.0,0.0,0.0,0.0,0.0
9,0.09,30.0,30.0,0.0,0.0,0.0,0.0
10,0.1,30.0,30.0,0.0,0.0,0.0,0.0
11,0.11,30.0,30.0,0.0,0.0,0.0,0.0
12,0.12,30.0,30.0,0.0,0.0,0.0,0.0
13,0.13,30.0,30.0,0.0,0.0,0.0,0.0
14,0.14,30.0,30.0,0.0,0.0,0.0,0.0
15,0.15,30.0,30.0,0.0,0.0,0.0,0.0
16,0.16,30.0,30.0,0.0,0.0,0.0,0.0
17,0.17,30.0,30.0,0.0,0.0,0.0,0.0
18,0.18,30.0,30.0,0.0,0.0,0.0,0.0
19,0.19,30.0,30.0,0.0,0.0,0.0,0.0
20,0.2,30.0,30.0,0.0,0.0,0.0,0.0
21,0.21,30.0,30.0,0.0,0.0,0.0,0.0
22,0.22,30.0,30.0,0.0,0.0,0.0,0.0
23,0.23,30.0,30.0,0.0,0.0,0.0,0.0
24,0.24,30.0,30.0,0.0,0.0,0.0,0.0
25,0.25,30.0,30.0,0.0,0.0,0.0,0.0
26,0.26,30.0,30.0,0.0,0.0,0.0,0.0
27,0.27,30.0,30.0,0.0,0.0,0.0,0.0
28,0.28,30.0,30.0,0.0,0.0,0.0,0.0
29,0.29,30.0,30.0,0.0,0.0,0.0,0.0
30,0.3,30.0,30.0,0.0,0.0,0.0,0.0
31,0.31,30.0,30.0,0.0,0.0,0.0,0.0
32,0.32,30.0,30.0,0.0,0.0,0.0,0.0
33,0.33,30.0,30.0,0.0,0.0,0.0,0.0
34,0.34,30.0,30.0,0.0,0.0,0.0,0.0
35,0.35000000000000003,30.0,30.0,0.0,0.0,0.0,0.0
36,0.36,30.0,30.0,0.0,0.0,0.0,0.0
37,0.37,30.0,30.0,0.0,0.0,0.0,0.0
38,0.38,30.0,30.0,0.0,0.0,0.0,0.0
39,0.39,30.0,30.0,0.0,0.0,0.0,0.0
40,0.4,30.0,30.0,0.0,0.0,0.0,0.0
41,0.41000000000000003,30.0,30.0,0.0,0.0,0.0,0.0
42,0.42,30.0,30.0,0.0,0.0,0.0,0.0
43,0.43,30.0,30.0,0.0,0.0,0.0,0.0
44,0.44,30.0,30.0,0.0,0.0,0.0,0.0
45,0.45,30.0,30.0,0.0,0.0,0.0,0.0
46,0.46,30.0,30.0,0.0,0.0,0.0,0.0
47,0.47000000000000003,30.0,30.0,0.0,0.0,0.0,0.0
48,0.48,30.0,30.0,0.0,0.0,0.0,0.0
