,t,f1,f2,f3,f4,f5,f6
0,0.0,0.0,0.0,0.0,0.0,-20.0,-20.0
1,0.01,0.0,0.0,0.0,0.0,-20.0,-20.0
2,0.02,0.0,0.0,0.5,0.5,-20.0,-20.0
3,0.03,0.0,0.0,0.5,0.5,-20.0,-20.0
4,0.04,0.0,0.0,0.5,0.5,-20.0,-20.0
5,0.05,0.0,0.0,0.5,0.5,-20.0,-20.0
6,0.06,0.0,0.0,1.0,1.0,-20.0,-20.0
7,0.07,0.0,0.0,1.0,1.0,-20.0,-20.0
8,0.08,0.0,0.0,1.0,1.0,-20.0,-20.0
9,0.09,0.0,0.0,1.0,1.0,-20.0,-20.0
10,0.1,0.0,0.0,1.5,1.5,-20.0,-20.0
11,0.11,0.0,0.0,1.5,1.5,-20.0,-20.0
12,0.12,0.0,0.0,1.5,1.5,-20.0,-20.0
13,0.13,0.0,0.0,1.5,1.5,-20.0,-20.0
14,0.14,0.0,0.0,2.0,2.0,-20.0,-20.0
15,0.15,0.0,0.0,2.0,2.0,-20.0,-20.0
16,0.16,0.0,0.0,2.0,2.0,-20.0,-20.0
17,0.17,0.0,0.0,2.0,2.0,-20.0,-20.0
18,0.18,0.0,0.0,2.5,2.5,-20.0,-20.0
19,0.19,0.0,0.0,2.5,2.5,-20.0,-20.0
20,0.2,0.0,0.0,2.5,2.5,-20.0,-20.0
21,0.21,0.0,0.0,2.5,2.5,-20.0,-20.0
22,0.22,0.0,0.0,3.0,3.0,-20.0,-20.0
23,0.23,0.0,0.0,3.0,3.0,-20.0,-20.0
24,0.24,0.0,0.0,3.0,3.0,-20.0,-20.0
25,0.25,0.0,0.0,3.0,3.0,-20.0,-20.0
26,0.26,0.0,0.0,3.5,3.5,-19.5,-19.5
27,0.27,0.0,0.0,3.5,3.5,-19.5,-19.5
28,0.28,0.0,0.0,3.5,3.5,-19.5,-19.5
29,0.29,0.0,0.0,3.5,3.5,-19.5,-19.5
30,0.3,0.0,0.0,3.5,3.5,-19.5,-19.5
31,0.31,0.0,0.0,4.0,4.0,-19.5,-19.5
32,0.32,0.0,0.0,4.0,4.0,-19.5,-19.5
33,0.33,0.0,0.0,4.0,4.0,-19.5,-19.5
34,0.34,0.0,0.0,4.0,4.0,-19.5,-19.5
35,0.35000000000000003,0.0,0.0,4.5,4.5,-19.5,-19.5
36,0.36,0.0,0.0,4.5,4.5,-19.5,-19.5
37,0.37,0.0,0.0,4.5,4.5,-19.5,-19.5
38,0.38,0.0,0.0,4.5,4.5,-19.5,-19.5
39,0.39,0.0,0.0,5.0,5.0,-19.5,-19.5
40,0.4,0.0,0.0,5.0,5.0,-19.5,-19.5
41,0.41000000000000003,0.0,0.0,5.0,5.0,-19.5,-19.5
