,t,f1,f2,f3,f4,f5,f6
0,0.0,20.0,20.0,0.0,0.0,0.0,0.0
1,0.01,20.0,20.0,0.0,0.0,0.0,0.0
2,0.02,20.0,20.0,0.5,0.5,0.0,0.0
3,0.03,20.0,20.0,0.5,0.5,0.0,0.0
4,0.04,20.0,20.0,0.5,0.5,0.0,0.0
5,0.05,20.0,20.0,0.5,0.5,0.0,0.0
6,0.06,20.0,20.0,1.0,1.0,0.0,0.0
7,0.07,20.0,20.0,1.0,1.0,0.0,0.0
8,0.08,20.0,20.0,1.0,1.0,0.0,0.0
9,0.09,20.0,20.0,1.0,1.0,0.0,0.0
10,0.1,20.0,20.0,1.5,1.5,0.0,0.0
11,0.11,20.0,20.0,1.5,1.5,0.0,0.0
12,0.12,20.0,20.0,1.5,1.5,0.0,0.0
13,0.13,20.0,20.0,1.5,1.5,0.0,0.0
14,0.14,20.0,20.0,2.0,2.0,0.0,0.0
15,0.15,20.0,20.0,2.0,2.0,0.0,0.0
16,0.16,20.0,20.0,2.0,2.0,0.0,0.0
17,0.17,20.0,20.0,2.0,2.0,0.0,0.0
18,0.18,20.0,20.0,2.5,2.5,0.0,0.0
19,0.19,20.0,20.0,2.5,2.5,0.0,0.0
20,0.2,20.0,20.0,2.5,2.5,0.0,0.0
21,0.21,20.0,20.0,2.5,2.5,0.0,0.0
22,0.22,20.0,20.0,3.0,3.0,0.0,0.0
23,0.23,20.0,20.0,3.0,3.0,0.0,0.0
24,0.24,20.0,20.0,3.0,3.0,0.0,0.0
25,0.25,20.0,20.0,3.0,3.0,0.0,0.0
26,0.26,19.5,19.5,3.5,3.5,0.0,0.0
27,0.27,19.5,19.5,3.5,3.5,0.0,0.0
28,0.28,19.5,19.5,3.5,3.5,0.0,0.0
29,0.29,19.5,19.5,3.5,3.5,0.0,0.0
30,0.3,19.5,19.5,3.5,3.5,0.0,0.0
31,0.31,19.5,19.5,4.0,4.0,0.0,0.0
32,0.32,19.5,19.5,4.0,4.0,0.0,0.0
33,0.33,19.5,19.5,4.0,4.0,0.0,0.0
34,0.34,19.5,19.5,4.0,4.0,0.0,0.0
35,0.35000000000000003,19.5,19.5,4.5,4.5,0.0,0.0
36,0.36,19.5,19.5,4.5,4.5,0.0,0.0
37,0.37,19.5,19.5,4.5,4.5,0.0,0.0
38,0.38,19.5,19.5,4.5,4.5,0.0,0.0
39,0.39,19.5,19.5,5.0,5.0,0.0,0.0
40,0.4,19.5,19.5,5.0,5.0,0.0,0.0
41,0.41000000000000003,19.5,19.5,5.0,5.0,0.0,0.0
42,0.42,19.5,19.5,5.0,5.0,0.0,0.0
43,0.43,19.5,19.5,5.5,5.5,0.0,0.0
44,0.44,19.0,19.0,5.5,5.5,0.0,0.0
45,0.45,19.0,19.0,5.5,5.5,0.0,0.0
46,0.46,19.0,19.0,5.5,5.5,0.0,0.0
47,0.47000000000000003,19.0,19.0,6.0,6.0,0.0,0.0
48,0.48,19.0,19.0,6.0,6.0,0.0,0.0
49,0.49,19.0,19.0,6.0,6.0,0.0,0.0
50,0.5,19.0,19.0,6.0,6.0,0.0,0.0
51,0.51,19.0,19.0,6.5,6.5,0.0,0.0
52,0.52,19.0,19.0,6.5,6.5,0.0,0.0
53,0.53,19.0,19.0,6.5,6.5,0.0,0.0
54,0.54,19.0,19.0,6.5,6.5,0.0,0.0
55,0.55,19.0,19.0,7.0,7.0,0.0,0.0
56,0.56,19.0,19.0,7.0,7.0,0.0,0.0
57,0.5700000000000001,18.5,18.5,7.0,7.0,0.0,0.0
58,0.58,18.5,18.5,7.0,7.0,0.0,0.0
59,0.59,18.5,18.5,7.0,7.0,0.0,0.0
60,0.6,18.5,18.5,7.5,7.5,0.0,0.0
61,0.61,18.5,18.5,7.5,7.5,0.0,0.0
62,0.62,18.5,18.5,7.5,7.5,0.0,0.0
63,0.63,18.5,18.5,7.5,7.5,0.0,0.0
64,0.64,18.5,18.5,8.0,8.0,0.0,0.0
65,0.65,18.5,18.5,8.0,8.0,0.0,0.0
66,0.66,18.5,18.5,8.0,8.0,0.0,0.0
67,0.67,18.5,18.5,8.0,8.0,0.0,0.0
68,0.68,18.0,18.0,8.5,8.5,0.0,0.0
69,0.6900000000000001,18.0,18.0,8.5,8.5,0.0,0.0
70,0.7000000000000001,18.0,18.0,8.5,8.5,0.0,0.0
71,0.71,18.0,18.0,8.5,8.5,0.0,0.0
72,0.72,18.0,18.0,8.5,8.5,0.0,0.0
73,0.73,18.0,18.0,9.0,9.0,0.0,0.0
74,0.74,18.0,18.0,9.0,9.0,0.0,0.0
75,0.75,18.0,18.0,9.0,9.0,0.0,0.0
76,0.76,18.0,18.0,9.0,9.0,0.0,0.0
77,0.77,17.5,17.5,9.5,9.5,0.0,0.0
78,0.78,17.5,17.5,9.5,9.5,0.0,0.0
79,0.79,17.5,17.5,9.5,9.5,0.0,0.0
80,0.8,17.5,17.5,9.5,9.5,0.0,0.0
81,0.81,17.5,17.5,9.5,9.5,0.0,0.0
82,0.8200000000000001,17.5,17.5,10.0,10.0,0.0,0.0
83,0.8300000000000001,17.5,17.5,10.0,10.0,0.0,0.0
84,0.84,17.5,17.5,10.0,10.0,0.0,0.0
85,0.85,17.0,17.0,10.0,10.0,0.0,0.0
86,0.86,17.0,17.0,10.5,10.5,0.0,0.0
87,0.87,17.0,17.0,10.5,10.5,0.0,0.0
88,0.88,17.0,17.0,10.5,10.5,0.0,0.0
89,0.89,17.0,17.0,10.5,10.5,0.0,0.0
90,0.9,17.0,17.0,10.5,10.5,0.0,0.0
91,0.91,17.0,17.0,11.0,11.0,0.0,0.0
92,0.92,17.0,17.0,11.0,11.0,0.0,0.0
93,0.93,16.5,16.5,11.0,11.0,0.0,0.0
94,0.9400000000000001,16.5,16.5,11.0,11.0,0.0,0.0
95,0.9500000000000001,16.5,16.5,11.0,11.0,0.0,0.0
96,0.96,16.5,16.5,11.5,11.5,0.0,0.0
97,0.97,16.5,16.5,11.5,11.5,0.0,0.0
98,0.98,16.5,16.5,11.5,11.5,0.0,0.0
99,0.99,16.5,16.5,11.5,11.5,0.0,0.0
100,1.0,16.0,16.0,12.0,12.0,0.0,0.0
101,1.01,16.0,16.0,12.0,12.0,0.0,0.0
102,1.02,16.0,16.0,12.0,12.0,0.0,0.0
103,1.03,16.0,16.0,12.0,12.0,0.0,0.0
104,1.04,16.0,16.0,12.0,12.0,0.0,0.0
105,1.05,16.0,16.0,12.5,12.5,0.0,0.0
106,1.06,15.5,15.5,12.5,12.5,0.0,0.0
107,1.07,15.5,15.5,12.5,12.5,0.0,0.0
108,1.08,15.5,15.5,12.5,12.5,0.0,0.0
109,1.09,15.5,15.5,12.5,12.5,0.0,0.0
110,1.1,15.5,15.5,12.5,12.5,0.0,0.0
111,1.11,15.5,15.5,13.0,13.0,0.0,0.0
112,1.12,15.0,15.0,13.0,13.0,0.0,0.0
113,1.1300000000000001,15.0,15.0,13.0,13.0,0.0,0.0
114,1.1400000000000001,15.0,15.0,13.0,13.0,0.0,0.0
115,1.1500000000000001,15.0,15.0,13.0,13.0,0.0,0.0
116,1.16,15.0,15.0,13.5,13.5,0.0,0.0
117,1.17,15.0,15.0,13.5,13.5,0.0,0.0
118,1.18,15.0,15.0,13.5,13.5,0.0,0.0
119,1.19,14.5,14.5,13.5,13.5,0.0,0.0
120,1.2,14.5,14.5,13.5,13.5,0.0,0.0
121,1.21,14.5,14.5,14.0,14.0,0.0,0.0
122,1.22,14.5,14.5,14.0,14.0,0.0,0.0
123,1.23,14.5,14.5,14.0,14.0,0.0,0.0
124,1.24,14.0,14.0,14.0,14.0,0.0,0.0
125,1.25,14.0,14.0,14.0,14.0,0.0,0.0
126,1.26,14.0,14.0,14.0,14.0,0.0,0.0
127,1.27,14.0,14.0,14.5,14.5,0.0,0.0
128,1.28,14.0,14.0,14.5,14.5,0.0,0.0
129,1.29,14.0,14.0,14.5,14.5,0.0,0.0
130,1.3,13.5,13.5,14.5,14.5,0.0,0.0
131,1.31,13.5,13.5,14.5,14.5,0.0,0.0
132,1.32,13.5,13.5,15.0,15.0,0.0,0.0
133,1.33,13.5,13.5,15.0,15.0,0.0,0.0
134,1.34,13.5,13.5,15.0,15.0,0.0,0.0
135,1.35,13.0,13.0,15.0,15.0,0.0,0.0
136,1.36,13.0,13.0,15.0,15.0,0.0,0.0
137,1.37,13.0,13.0,15.0,15.0,0.0,0.0
138,1.3800000000000001,13.0,13.0,15.0,15.0,0.0,0.0
139,1.3900000000000001,13.0,13.0,15.5,15.5,0.0,0.0
140,1.4000000000000001,12.5,12.5,15.5,15.5,0.0,0.0
